film_name;film_time_min;country;main_roles;genre;director;rating;url;film_year
Домик у моря;105;Корея Южная;Ли Джон-джэ, Чон Джи-хён;мелодрама,фэнтези;Ли Хён-сын;7.6;https://www.kinopoisk.ru//film/76547/sr/1/;2000
Там, где сердце;120;США;Натали Портман, Эшли Джадд;драма,мелодрама,комедия;Мэтт Уильямс;7.6;https://www.kinopoisk.ru//film/881/sr/1/;2000
Букет;81;Чехия;Мартина Безоушкова, Сильви Краслова;ужасы,фэнтези,драма;Франтишек Антонин Брабец;7.6;https://www.kinopoisk.ru//film/52365/sr/1/;2000
Китайский кофе;99;США;Аль Пачино, Джерри Орбак;драма;Аль Пачино;7.6;https://www.kinopoisk.ru//film/4868/sr/1/;2000
Романовы: Венценосная семья;135;Россия;Александр Галибин, Линда Беллингэм;драма,биография,история;Глеб Панфилов;7.6;https://www.kinopoisk.ru//film/40704/sr/1/;2000
На последнем берегу (ТВ);195;Австралия;Арманд Ассанте, Рэйчел Уорд;фантастика,драма;Рассел Малкэй;7.6;https://www.kinopoisk.ru//film/94246/sr/1/;2000
Авансцена;115;США;Аманда Шулл, Зои Салдана;драма,мелодрама,музыка;Николас Хайтнер;7.6;https://www.kinopoisk.ru//film/631/sr/1/;2000
Шанхайский полдень;110;США;Джеки Чан, Оуэн Уилсон;боевик,комедия,приключения;Том Дей;7.6;https://www.kinopoisk.ru//film/829/sr/1/;2000
Угнать за 60 секунд;118;США;Николас Кейдж, Анджелина Джоли;боевик,триллер,криминал;Доминик Сена;7.6;https://www.kinopoisk.ru//film/2011/sr/1/;2000
Перо маркиза де Сада;124;Великобритания;Джеффри Раш, Кейт Уинслет;драма,мелодрама,история;Филип Кауфман;7.6;https://www.kinopoisk.ru//film/795/sr/1/;2000
Дневник его жены;103;Россия;Андрей Смирнов, Галина Тюнина;драма,биография;Алексей Учитель;7.6;https://www.kinopoisk.ru//film/7648/sr/1/;2000
Дублеры;114;США;Киану Ривз, Джин Хэкмен;комедия,спорт;Ховард Дойч;7.5;https://www.kinopoisk.ru//film/800/sr/1/;2000
Легенда Багера Ванса;126;США;Уилл Смит, Мэтт Дэймон;драма,спорт,мелодрама;Роберт Редфорд;7.5;https://www.kinopoisk.ru//film/736/sr/1/;2000
Агентство НЛС (сериал);43;Россия;Игорь Ботвин, Тарас Бибич;комедия,детектив,приключения;Дмитрий Парменов;7.5;https://www.kinopoisk.ru//film/95180/sr/1/;2000
Королевская битва;114;Япония;Тацуя Фудзивара, Такеши Китано;фантастика,триллер,драма;Киндзи Фукасаку;7.5;https://www.kinopoisk.ru//film/604/sr/1/;2000
Знакомство с родителями;108;США;Бен Стиллер, Роберт Де Ниро;мелодрама,комедия;Джей Роуч;7.5;https://www.kinopoisk.ru//film/750/sr/1/;2000
Пункт назначения;98;США;Девон Сава, Эли Лартер;ужасы,фантастика,триллер;Джеймс Вонг;7.5;https://www.kinopoisk.ru//film/668/sr/1/;2000
Граница: Таежный роман (ТВ);126;Россия;Алексей Гуськов, Ольга Будина;драма,мелодрама;Александр Митта;7.5;https://www.kinopoisk.ru//film/1320423/sr/1/;2000
Принцесса и воин;135;Германия;Франка Потенте, Бенно Фюрман;драма,мелодрама,детектив;Том Тыквер;7.5;https://www.kinopoisk.ru//film/730/sr/1/;2000
Афинские вечера;97;Россия;Ольга Аросева, Лев Дуров;мелодрама,комедия;Петр Гладилин;7.5;https://www.kinopoisk.ru//film/40983/sr/1/;2000
